name,playable,status,for_sale,expansion,price,price_text,rating,bgg_link,players,age,time,category,play_style,blurb,pick_by,pick_note,rec_list,rec_note,notes,rules_link
Kingdomino: Age of Giants,yes,,,yes,,2-5,8+,15-20 mins,"Strategy, Family",competitive,,https://boardgamegeek.com/boardgameexpansion/240909,Kingdomino with giants trampling your kingdom,,,,,,,
Last Heroes,yes,,,,,2-4,12+,30-45 mins,"Strategy, Card Game",competitive,4.9,https://boardgamegeek.com/boardgame/254686,a survival card game in the Dead of Winter shadow,,,,,,,
Legendary Inventors,yes,,,,,2-5,10+,40-60 mins,"Strategy, Family",competitive,6.3,https://boardgamegeek.com/boardgame/200785,an invention race with 7 Wonders workshop energy,,,,,,,
Life of a Chameleon,yes,,,,,2-6,8+,30 mins,"Family, Strategy",competitive,7.1,https://boardgamegeek.com/boardgame/337638,a family adventure in the Game of Life spirit,,,,,,,
Lightning Train,no,,yes,,~$95,2-4,10+,60-90 mins,"Family, Strategy",competitive,7.3,https://boardgamegeek.com/boardgame/445673,Ticket to Ride crossed with Clank! deck-building,,,,,,,
Logo Board Game,yes,,,,,2-6,12+,30-60 mins,"Trivia, Family",competitive,5.1,https://boardgamegeek.com/boardgame/64204,Trivial Pursuit for brand logos,,,,,,,
Lords of Waterdeep,yes,,,,,2-5,12+,60-120 mins,"Strategy, Worker Placement",competitive,7.7,https://boardgamegeek.com/boardgame/110327,"the friendly face of worker placement, D&D's Viticulture",,,,,,,
Lost Ruins of Arnak,yes,,,,,1-4,12+,30-120 mins,"Strategy, Exploration",competitive,8.1,https://boardgamegeek.com/boardgame/312484,deck-building meets worker placement. Clank! goes archaeology,,,,,,,
Love Letter - Infinity Gauntlet Edition,yes,,,,,2-6,10+,20 mins,"Card Game, Deduction",competitive,6.9,https://boardgamegeek.com/boardgame/304285,"Love Letter with Thanos. One deck, big bluffs",,,,,,,
Love Letter - Princess Ever After,yes,,,,,2-6,10+,20 mins,"Card Game, Deduction",competitive,7.2,https://boardgamegeek.com/boardgame/129622,"classic Love Letter, storybook edition",,,,,,,
Lucky Numbers,yes,,,,,2-4,8+,20 mins,"Family, Abstract",competitive,6.4,https://boardgamegeek.com/boardgame/118247,"a breezy number-grid race, bingo with actual decisions",,,,,,,
Machi Koro,yes,,,,,2-4,10+,30-45 mins,"Strategy, Family",competitive,6.6,https://boardgamegeek.com/boardgame/143884,"dice-rolling city building, Catan's little cousin",,,,,,,
Machi Koro 2,yes,,,,,2-5,10+,30-45 mins,"Family, Strategy",competitive,7.1,https://boardgamegeek.com/boardgame/340364,Machi Koro rebalanced by a decade of plays,,,,,,,
Man Bites Dog,yes,,,,,2-6,8+,20 mins,"Party, Word",competitive,4.6,https://boardgamegeek.com/boardgame/4035,"headline-building word play, tabloid Bananagrams",,,,,,,
Mansions of Madness,yes,,,,,1-5,14+,120-180 mins,"Cooperative, Horror",co-op,7.2,https://boardgamegeek.com/boardgame/83330,Betrayal's app-driven Lovecraft big brother,,,,,,,
Maracaibo,yes,,,,,1-4,12+,120-150 mins,"Strategy, Adventure",competitive,7.9,https://boardgamegeek.com/boardgame/276025,Great Western Trail's Caribbean rival,,,,,,,
Marvel United,yes,,,,,1-4,14+,40 mins,"Cooperative, Superhero",co-op,7.5,https://boardgamegeek.com/boardgame/298047,"a co-op comic strip, Pandemic-lite with heroes",,,,,,,
Marvel Villainous Infinite Power,yes,,,,,2-4,12+,40-80 mins,"Strategy, Superhero",competitive,6.7,https://boardgamegeek.com/boardgame/302336,"play the villain. Root-style asymmetry, lighter",,,,,,,
Mascarade,yes,,,,,2-13,10+,30 mins,"Bluffing, Deduction",competitive,6.5,https://boardgamegeek.com/boardgame/139030,Coup at thirteen players with swapped identities,,,,,,,
Meeple Circus,yes,,,,,2-5,8+,45 mins,"Family, Dexterity",competitive,7,https://boardgamegeek.com/boardgame/193214,"acrobatic stacking, Block Party under a big top",,,,,,,
Mega WHOT! - Super Mario,yes,,,,,2-6,6+,20 mins,"Family, Card Game",competitive,,,WHOT is Uno's ancestor. This one wears Mario,,,,,,,
Moa,yes,,,,,3-5,12+,90 mins,"Area Control, Strategy",competitive,6.3,https://boardgamegeek.com/boardgame/214123,bird-powered area control in the El Grande family,,,,,,,
Monolith Arena,yes,,,,,2-4,10+,30-45 mins,"Strategy, Tactical",competitive,7.2,https://boardgamegeek.com/boardgame/238393,Neuroshima Hex with fantasy armies,,,,,,,
Monopoly - Classic,yes,,,,,2-6,8+,60-180 mins,"Family, Economic",competitive,4.4,https://boardgamegeek.com/boardgame/1406,the original property-trading family institution,,,,,,,
Monopoly - Deal Card Game,yes,,,,,2-5,8+,15 mins,"Family, Card Game",competitive,6.3,https://boardgamegeek.com/boardgame/40398,Monopoly compressed into fifteen card-game minutes,,,,,,,
Monopoly Bid,yes,,,,,2-5,7+,15-20 mins,"Family, Card Game",competitive,5.7,https://boardgamegeek.com/boardgame/327797,Monopoly as a quick blind auction,,,,,,,
Munchkin,yes,,,,,3-6,10+,90 mins,"Card Game, Fantasy",competitive,5.9,https://boardgamegeek.com/boardgame/1927,"dungeon take-that, Exploding Kittens-era humour with levels",,,,,,,
Munchkin Marvel,yes,,,,,3-6,10+,90 mins,"Card Game, Fantasy",competitive,6.8,https://boardgamegeek.com/boardgame/189848,Munchkin in the Marvel universe,,,,,,,
Munchkin Panic,yes,,,,,1-6,10+,60 mins,"Cooperative, Strategy",co-op,6,https://boardgamegeek.com/boardgame/156786,Munchkin crossed with Castle Panic,,,,,,,
My First Bananagrams,yes,,,,,1-4,4+,15 mins,"Family, Word Game",competitive,6.2,https://boardgamegeek.com/boardgame/202478,Bananagrams with training wheels,,,,,,,
My First Castle Panic,yes,,,,,1-4,4+,20 mins,"Family, Cooperative",co-op,6.4,https://boardgamegeek.com/boardgame/267314,Castle Panic for pre-schoolers,,,,,,,
My First Stone Age,yes,,,,,2-4,5+,15-20 mins,"Family, Strategy",competitive,6.6,https://boardgamegeek.com/boardgame/191004,Stone Age shrunk for little gatherers,,,,,,,
Mysterium,yes,,,,,2-7,10+,45 mins,"Cooperative, Deduction",co-op,7.2,https://boardgamegeek.com/boardgame/181304,Dixit turned into a ghost-story deduction co-op,,,,,,,
Near and Far,yes,,,,,2-4,13+,90-120 mins,"Strategy, Adventure",competitive,7.6,https://boardgamegeek.com/boardgame/195421,"storybook adventure euro, Above and Below's sequel",,,,,,,
New Frontiers,yes,,,,,2-5,14+,45-90 mins,Strategy,competitive,7.4,https://boardgamegeek.com/boardgame/255692,"Puerto Rico in space, from the Race for the Galaxy line",,,,,,,
New York Zoo,yes,,,,,1-5,10+,30-60 mins,"Family, Strategy",competitive,7,https://boardgamegeek.com/boardgame/300877,Patchwork-style polyomino zoo building,,,,,,,
No Thanks!,yes,,,,,3-7,8+,20 mins,"Card Game, Family",competitive,7.1,https://boardgamegeek.com/boardgame/12942,the simplest push-your-luck bidding ever,,,,,,,
Not Alone,yes,,,,,2-7,10+,30-45 mins,"Strategy, Sci-Fi",competitive,7,https://boardgamegeek.com/boardgame/194879,"hidden-movement cat and mouse, Fugitive at party size",,,,,,,
Now or Never,yes,,,,,1-4,13+,120-180 mins,"Strategy, Adventure",competitive,7.6,https://boardgamegeek.com/boardgame/314745,"Near and Far's sequel, storybook village rebuilding",,,,,,,
Nucleum,yes,,,,,2-4,12+,60-90 mins,"Strategy, Sci-Fi",competitive,8.1,https://boardgamegeek.com/boardgame/396790,Brass Birmingham with atomic reactors,,,,,,,
Oath - Chronicles of Empire and Exile,yes,,,,,1-6,10+,45-150 mins,"Strategy, Legacy",competitive,7.7,https://boardgamegeek.com/boardgame/291572,Root's designer building empires that remember your last game,,,,,,,
Odin's Ravens (Second Edition),yes,,,,,2,10+,30 mins,"Strategy, Card Game",competitive,7,https://boardgamegeek.com/boardgame/192074,"a two-player race across Norway. Jaipur pace, raven theme",,,,,,,
Ok Boomer,yes,,,,,2-8,12+,30-45 mins,"Party, Trivia",competitive,4.7,https://boardgamegeek.com/boardgame/313463,"generation-war trivia, Trivial Pursuit with a smirk",,,,,,,
One Night Ultimate Superheroes,yes,,,,,3-10,8+,10 mins,"Party, Social Deduction",teams,6.8,https://boardgamegeek.com/boardgame/255293,One Night Werewolf in capes,,,,,,,
One Night Ultimate Werewolf,yes,,,,,3-10,8+,10 mins,"Party, Deduction",teams,7,https://boardgamegeek.com/boardgame/147949,"Werewolf compressed into ten minutes, no eliminations",,,,,,,
Ono 99,yes,,,,,2-8,10+,20 mins,"Family, Card Game",competitive,5.7,https://boardgamegeek.com/boardgame/7803,Uno's press-your-luck counting cousin,,,,,,,
Operation Shuffle,yes,,,,,2-6,8+,20 mins,"Family, Card",competitive,,https://boardgamegeek.com/boardgame/239828,Operation dealt out as a card game,,,,,,,
Orleans,yes,,,,,2-5,12+,90 mins,"Strategy, Economic",competitive,8.1,https://boardgamegeek.com/boardgame/164928,"bag-building, Dominion drawn from a cloth bag",,,,,,,
Paladins of the West Kingdom,yes,,,,,1-4,12+,90-120 mins,"Strategy, Worker Placement",competitive,8,https://boardgamegeek.com/boardgame/266810,a heavier Lords of Waterdeep with faith and force,,,,,,,
Palazzo,yes,,,,,2-4,10+,60 mins,"Tile-Laying, Family",competitive,6.5,https://boardgamegeek.com/boardgame/15318,"a Knizia auction of palace floors, Ra energy",,,,,,,
Paleo,yes,,,,,2-4,10+,45-60 mins,"Cooperative, Strategy",co-op,7.7,https://boardgamegeek.com/boardgame/300531,"a stone-age co-op, Pandemic set in prehistory",,,,,,,
Pandemic,yes,,,,,2-4,8+,45 mins,"Cooperative, Strategy",co-op,7.5,https://boardgamegeek.com/boardgame/30549,THE co-op gateway. Cure the world together,,,,,,,
Paperback,yes,,,,,2-5,8+,45 mins,"Strategy, Word",competitive,7.1,https://boardgamegeek.com/boardgame/141572,Scrabble as a deck-builder,,,,,,,
Pendulum,yes,,,,,1-5,12+,60-90 mins,"Strategy, Real-Time",competitive,6.4,https://boardgamegeek.com/boardgame/312804,"a real-time euro, Tzolkin with sand timers",,,,,,,
Phase 10,yes,,,,,2-6,7+,45 mins,"Family, Card Game",competitive,5.3,https://boardgamegeek.com/boardgame/1258,"rummy with a ten-step ladder, Uno's structured cousin",,,,,,,
Pick Up Sticks,yes,,,,,2-6,5+,15 mins,"Family, Classic",competitive,4.4,https://boardgamegeek.com/boardgame/6424,"the steady-hands classic, Jenga's tabletop ancestor",,,,,,,
Pictionary,yes,,,,,2+,8+,60 mins,"Party, Drawing",teams,5.8,https://boardgamegeek.com/boardgame/2281,"the original draw-and-guess, Telestrations' ancestor",,,,,,,
Pictomania,yes,,,,,3-6,9+,25 mins,"Party, Drawing",competitive,7.3,https://boardgamegeek.com/boardgame/98229,Pictionary where everyone draws and guesses at once,,,,,,,
Pirates of Perfidy,yes,,,,,3-6,10+,30 mins,"Party, Card Game",competitive,,https://boardgamegeek.com/boardgame/436471,build the swaggeriest pirate crew while everyone steals from yours,,,,,,,
Planet,yes,,,,,2-4,8+,30-45 mins,"Strategy, Family",competitive,6.6,https://boardgamegeek.com/boardgame/252929,a magnetic 3D Kingdomino. Build a world in your hands,,,,,,,
Playdoh Shuffle,yes,,,,,3-6,8+,30 mins,"Party, Dexterity",competitive,,https://boardgamegeek.com/boardgame/179589,Snap for little kids. Say why your card matches,,,,,,,
Poo,yes,,,,,2-8,8+,15 mins,"Party, Humor",competitive,5.5,https://boardgamegeek.com/boardgame/60579,"monkey mayhem, Exploding Kittens' cheekier cousin",,,,,,,
Pop the Pig,yes,,,,,2-6,4+,15 mins,"Family, Children's Game",competitive,4.2,https://boardgamegeek.com/boardgame/35173,Buckaroo-style kids' press-your-luck,,,,,,,
Psycho Killer,yes,,,,,2-6,15+,15-30 mins,"Horror, Party",competitive,6.7,https://boardgamegeek.com/boardgame/327371,horror-comedy take-that in the Exploding Kittens vein,,,,,,,
Puerto Rico,yes,,,,,2-5,12+,90-150 mins,"Strategy, Economic",competitive,7.9,https://boardgamegeek.com/boardgame/3076,the role-picking classic New Frontiers descends from,,,,,,,
Quacks of Quedlinburg,yes,,yes,,~$70,2-4,10+,45 mins,"Family, Strategy",competitive,7.5,https://boardgamegeek.com/boardgame/409496,Diamant-style push-your-luck inside a bag builder,,,,,,,
Quadefy,yes,,,,,2,8+,15-20 mins,"Strategy, Abstract",competitive,5.8,https://boardgamegeek.com/boardgame/113517,"a two-player wooden abstract, stacking and capturing",,,,,,,
Qwirkle,no,,yes,,~$45,2-4,6+,45 mins,"Abstract Strategy, Family",competitive,7.0,https://boardgamegeek.com/boardgame/25669,Scrabble crossed with dominoes,,,,,,,
Ra,no,,yes,,~$80,2-5,12+,60 mins,"Strategy, Auction",competitive,7.6,https://boardgamegeek.com/boardgame/12,"Modern Art's auction sibling, peak Knizia",,,,,,,
Red Cathedral,yes,,,,,1-4,10+,80-120 mins,"Strategy, Family",competitive,7.7,https://boardgamegeek.com/boardgame/227224,an Istanbul-weight euro with a dice market,,,,,,,
Red Rising,yes,,yes,,~$55,1-6,14+,45-60 mins,"Strategy, Fantasy",competitive,7,https://boardgamegeek.com/boardgame/329465,Fantasy Realms in the Red Rising universe,,,,,,,
Res Arcana,no,,yes,,~$60,2-4,12+,20-60 mins,"Strategy, Card Game",competitive,7.6,https://boardgamegeek.com/boardgame/262712,"Splendor with teeth, from the Race for the Galaxy designer",,,,,,,
Rick and Morty - Total Rickall,yes,,,,,2-5,15+,30 mins,"Cooperative, Deduction",co-op,6.1,https://boardgamegeek.com/boardgame/194232,One Night Werewolf with fake family members,,,,,,,
Rising Sun,yes,,,,,3-5,14+,90-120 mins,"Strategy, Area Control",competitive,7.8,https://boardgamegeek.com/boardgame/205896,Blood Rage's honour-bound Japanese sibling,,,,,,,
Roll for the Galaxy,yes,,yes,,~$95,2-5,14+,45 mins,"Strategy, Dice Game",competitive,7.6,https://boardgamegeek.com/boardgame/132531,Race for the Galaxy rebuilt with dice,,,,,,,
Roll Player,yes,,yes,,~$75,1-4,10+,60-90 mins,"Strategy, Dice Game",competitive,7.4,https://boardgamegeek.com/boardgame/169426,Sagrada wearing a character-sheet skin,,,,,,,
Root,yes,,,,,2-4,10+,60-90 mins,"Strategy, Asymmetric",competitive,8.1,https://boardgamegeek.com/boardgame/237182,asymmetric woodland warfare. Every faction plays a different game,,,,,,,
Rubiks Cage,yes,,,,,2-4,7+,20 mins,"Puzzle, Family",competitive,6.4,https://boardgamegeek.com/boardgame/283609,Connect 4 inside a Rubik's twist,,,,,,,
Rummikub Original,yes,,,,,2-4,8+,60 mins,"Family, Abstract",competitive,6.5,https://boardgamegeek.com/boardgame/811,"gin rummy with tiles, the classic set-shuffler",,,,,,,
RUN,yes,,,,,2-5,8+,10-15 mins,"Family, Card Game",competitive,7.5,https://boardgamegeek.com/boardgame/368028,"Fugitive's bigger sibling. One runs, one flies the helicopter",,,,,,,
RuneScape Kingdoms: King Black Dragon,yes,,,,,1-5,14+,60-120 mins,"Expansion, Adventure",competitive,,https://boardgamegeek.com/boardgameexpansion/415085,a boss-fight expansion for RuneScape Kingdoms,,,,,,,
RuneScape Kingdoms: Shadow of Elvarg,yes,,,,,1-5,14+,60-120 mins,"Cooperative, Adventure",co-op,7.5,https://boardgamegeek.com/boardgame/361503,"RuneScape as a co-op quest crawl, Jaws of the Lion for MMO fans",,,,,,,
RuneScape Kingdoms: The Roleplaying Game,yes,,,,,1-5,14+,Varies,"Roleplaying, Adventure",competitive,,https://rpggeek.com/rpg/102491,"a tabletop RPG, D&D in Gielinor",,,,,,,
Sabotage,yes,,,,,2-4,10+,45-60 mins,"Strategy, Deduction",teams,7.2,https://boardgamegeek.com/boardgame/252854,"Captain Sonar's sneaky cousin, 2v2 hidden movement",,,,,,,
Saboteur,yes,,,,,3-10,8+,30 mins,"Social Deduction, Strategy",teams,6.5,https://boardgamegeek.com/boardgame/9220,"hidden-traitor tunnel digging, Werewolf with pickaxes",,,,,,,
Scape Goat,yes,,,,,3-6,10+,20 mins,"Party, Social Deduction",competitive,6.9,https://boardgamegeek.com/boardgame/315043,"a quick framing job, Coup energy with goats",,,,,,,
SCOUT,yes,,,,,2-5,9+,15 mins,"Family, Card Game",competitive,7.8,https://boardgamegeek.com/boardgame/291453,trick-taking meets hand Tetris. You can't rearrange your cards,,,,,,,
Scrabble,yes,,,,,2-4,8+,60 mins,"Family, Word",competitive,6.3,https://boardgamegeek.com/boardgame/320,the word-building institution,,,,,,,
Sea Battle,yes,,,,,2,6+,30 mins,"Family, Classic",competitive,,,"Battleship. Call your shots, sink their fleet",,,,,,,
Secret Hitler,yes,,,,,5-10,13+,45 mins,"Deduction, Political",teams,7.5,https://boardgamegeek.com/boardgame/188834,"Avalon's political sibling, hidden roles in parliament",,,,,,,
Secrets,yes,,,,,4-8,10+,30-45 mins,"Party, Social Deduction",competitive,6.4,https://boardgamegeek.com/boardgame/200847,Mascarade's spy-era cousin. Your team keeps changing,,,,,,,
Selfish,yes,,,,,2-5,12+,20-30 mins,"Strategy, Card Game",competitive,6,https://boardgamegeek.com/boardgame/265912,"a backstabbing race for oxygen, Exploding Kittens meanness",,,,,,,
Selfish: Zombies,yes,,,,,2-5,12+,20-30 mins,"Strategy, Card Game",competitive,6,https://boardgamegeek.com/boardgame/288583,"Selfish's undead sibling, same backstabbing race",,,,,,,
Sequence,yes,,,,,2-12,7+,30 mins,"Family, Classic",competitive,6.2,https://boardgamegeek.com/boardgame/2375,"Connect Five with cards, the family classic",,,,,,,
SETI,no,,yes,,$105–140,1-4,14+,40-160 mins,"Strategy, Science Fiction",competitive,8.1,https://boardgamegeek.com/boardgame/418059,Terraforming Mars meets Ark Nova,Jehan,Terraforming Mars fans start here,,,,,
Settlers of Catan Expansion 5-6 Player,yes,,,yes,,5-6,10+,90 mins,"Strategy, Family",competitive,,https://boardgamegeek.com/boardgameexpansion/2807,Catan stretched to five and six players,,,,,,,
Shadows of Brimstone City of Ancients,yes,,,,,1-4,12+,60-120 mins,"Cooperative, Adventure",co-op,7.9,https://boardgamegeek.com/boardgame/146791,"a Wild-West Lovecraft dungeon crawl, Gloomhaven's pulpier cousin",,,,,,,
Sherlock Holmes Consulting Detective,yes,,,,,1-8,14+,60-120 mins,"Cooperative, Deduction",co-op,7.6,https://boardgamegeek.com/boardgame/2511,"Awkward Guests' grandparent, pure casebook deduction",,,,,,,
Shit Happens,yes,,,,,2-8,18+,20-60 mins,"Party, Card Game",competitive,5.3,https://boardgamegeek.com/boardgame/196379,"rank the misfortunes, Cards Against Humanity's ranking cousin",,,,,,,
Shut The Box,yes,,,,,1+,8+,10-20 mins,"Family, Dice Game",competitive,5.2,https://boardgamegeek.com/boardgame/9851,"the pub dice classic, Yahtzee's tiny ancestor",,,,,,,
Sidereal Confluence,yes,,,,,4-9,14+,120-180 mins,"Strategy, Economic",competitive,7.8,https://boardgamegeek.com/boardgame/202426,"Catan's trading dialled to eleven, one giant simultaneous negotiation",,,,,,,
Sideshow Swap,yes,,,,,3-6,8+,20-30 mins,"Party, Deduction",competitive,6.8,https://boardgamegeek.com/boardgame/256443,Love Letter at the circus. Swap your act blind and hope,,,,,,,
Skip-Bo,yes,,,,,2-6,7+,20 mins,"Family, Card Game",competitive,5.7,https://boardgamegeek.com/boardgame/1269,Uno's sequencing sibling,,,,,,,
Skulk Hollow,yes,,,,,2,10+,40-60 mins,"Strategy, Asymmetrical",competitive,7.2,https://boardgamegeek.com/boardgame/232595,"a one-vs-one Root, leaping foxes versus a stone guardian",,,,,,,
Skull,yes,,,,,3-6,10+,30-45 mins,"Bluffing, Party",competitive,7.2,https://boardgamegeek.com/boardgame/92415,"the purest bluff ever printed, poker distilled to four coasters",,,,,,,
Sky Team,yes,,yes,,~$55,2,12+,15 mins,"Cooperative, Two Player",co-op,7.9,https://boardgamegeek.com/boardgame/373106,The Crew condensed to two seats,Ollie,Perfect date-night co-op,,,,,
Small World - Warcraft,yes,,,,,2-5,10+,30-60 mins,"Area Control, Strategy",competitive,7.2,https://boardgamegeek.com/boardgame/309630,Small World wearing Warcraft races,,,,,,,
Smash Up,yes,,,,,2-4,12+,45 mins,"Strategy, Card Game",competitive,6.7,https://boardgamegeek.com/boardgame/122522,"faction mash-up brawls, pirate-dinosaurs versus zombie-wizards",,,,,,,
Sounds Fishy,yes,,,,,4-10,10+,20-30 mins,"Party, Bluffing",competitive,6.7,https://boardgamegeek.com/boardgame/359893,Balderdash flipped. Spot the true answer among liars,,,,,,,
Space Base,no,,yes,,~$80,2-5,14+,60 mins,"Strategy, Dice",competitive,7.4,https://boardgamegeek.com/boardgame/242302,"Machi Koro, grown up",,,,,,,
Spirit Island,yes,,,,,1-4,13+,90-120 mins,"Cooperative, Strategy",co-op,8.3,https://boardgamegeek.com/boardgame/162886,"the anti-Catan, heavy co-op spirits repelling colonists",,,,,,,
Splendor,yes,,yes,,~$62,2-4,10+,30 mins,"Strategy, Economic",competitive,7.4,https://boardgamegeek.com/boardgame/148228,Century: Golem Edition's engine-building twin,,,,,,,
Stabber in the Cabin,yes,,,,,4-10,12+,20 mins,"Party, Social Deduction",competitive,,https://boardgamegeek.com/boardgame/429885,ten-minute cabin Werewolf,,,,,,,
Streets,yes,,,,,1-5,10+,30-60 mins,"Strategy, Tile-Laying",competitive,6.6,https://boardgamegeek.com/boardgame/279720,The Isle of Cats' designer doing city streets,,,,,,,
Suburbia,yes,,,,,1-4,8+,90 mins,"Strategy, City Building",competitive,7.5,https://boardgamegeek.com/boardgame/123260,SimCity as a tile-laying engine,,,,,,,
Summoner Wars,yes,,,,,2,9+,30-60 mins,"Strategy, Tactical",competitive,7.2,https://boardgamegeek.com/boardgame/58281,a card-driven battle duel. Magic meets chess,,,,,,,
Sushi Go,yes,,,,,2-5,8+,15 mins,"Family, Card Game",competitive,7,https://boardgamegeek.com/boardgame/133473,7 Wonders shrunk to a sushi train,,,,,,,
T.I.M.E Stories: Under the Mask,yes,,,yes,,2-4,12+,90 mins,"Cooperative, Adventure",co-op,7.3,https://boardgamegeek.com/boardgameexpansion/189686,an Ancient-Egypt case for T.I.M.E Stories,,,,,,,
Taboo,yes,,,,,4-10,12+,30 mins,"Party, Word",teams,6.3,https://boardgamegeek.com/boardgame/1111,"Codenames' loud ancestor, forbidden-word guessing",,,,,,,
Taco Cat Cheese Pizza,yes,,,,,3-8,8+,10 mins,"Party, Dexterity",competitive,6.5,https://boardgamegeek.com/boardgame/253664,Jungle Speed's shouty card cousin,,,,,,,
Tainted Grail - Kings of Ruin,yes,,,,,1-4,14+,90-120 mins,"Strategy, Adventure",competitive,8.6,https://boardgamegeek.com/boardgame/360366,a grim Arthurian story crawl. Gloomhaven meets a novel,,,,,,,
Tang Garden,yes,,,,,1-4,14+,45-60 mins,"Strategy, Tile-Placement",competitive,7.3,https://boardgamegeek.com/boardgame/252153,"a zen garden builder, Tokaido's landscaping cousin",,,,,,,
Tapple,no,,yes,,~$32,2-8,8+,20 mins,"Party, Word",competitive,6.4,https://boardgamegeek.com/boardgame/129556,Scattergories at speed,,,,,,,
Tavern Masters,yes,,,,,1-6,13+,30-60 mins,Resource Management,competitive,6.8,https://boardgamegeek.com/boardgame/210418,"run a fantasy pub, Machi Koro behind the bar",,,,,,,
Terra Mystica,yes,,,,,2-5,14+,60-150 mins,"Strategy, Economic",competitive,8,https://boardgamegeek.com/boardgame/120677,the heavy terraforming classic Gaia Project grew from,,,,,,,
Terra Mystica (Big Box),yes,,yes,,$180+,2-5,12+,150 mins,"Strategy, Economic",competitive,8.1,https://boardgamegeek.com/boardgame/356238/terra-mystica-big-box,Gaia Project's fantasy parent,,,,,,,
Terraforming Mars,yes,,,,,1-5,12+,120 mins,"Strategy, Economic",competitive,8.3,https://boardgamegeek.com/boardgame/167791,"the engine-builder about greening Mars, Ark Nova's space rival",,,,,,,
The Gang,yes,,,,,3-6,10+,20 mins,"Cooperative, Card Game",co-op,7.5,https://boardgamegeek.com/boardgame/411567,"co-op Texas hold'em, poker as a team puzzle",,,,,,,
The Great Wall,yes,,,,,1-4,14+,120-180 mins,"Strategy, Worker Placement",competitive,7.8,https://boardgamegeek.com/boardgame/292375,Tzolkin's crunch pointed at a Mongol invasion,,,,,,,
The Isle of Cats,yes,,,,,1-4,8+,60-90 mins,"Strategy, Family",competitive,7.6,https://boardgamegeek.com/boardgame/281259,Patchwork scaled up to a boatload of cats,,,,,,,
The Mind,yes,,,,,2-4,8+,15 mins,"Cooperative, Card Game",co-op,6.7,https://boardgamegeek.com/boardgame/244992,"wordless co-op counting, Hanabi's telepathic cousin",,,,,,,
The Quest for El Dorado,yes,,,,,2-4,10+,60 mins,"Strategy, Deck Building",competitive,7.7,https://boardgamegeek.com/boardgame/217372,"deck-building as a race, Dominion strapped to a jungle sprint",,,,,,,
The Red Dragon Inn,yes,,,,,2-4,13+,45 mins,"Party, Card Game",competitive,6.5,https://boardgamegeek.com/boardgame/24310,"drink your mates under a fantasy table, Munchkin's pub crawl",,,,,,,
The Resistance,yes,,,,,5-10,13+,30 mins,"Party, Social Deduction",teams,7.2,https://boardgamegeek.com/boardgame/41114,Werewolf without eliminations. The missions decide,,,,,,,
The Sherriff of Nottingham,yes,,,,,3-5,14+,60 mins,"Bluffing, Strategy",competitive,7,https://boardgamegeek.com/boardgame/157969,Skull with contraband. Bluff your bag past the sheriff,,,,,,,
The Singaporean Dream,yes,,,,,2-6,8+,20-30 mins,"Family, Strategy",competitive,5.3,https://boardgamegeek.com/boardgame/267030,Singapore's satirical take on the Selfish formula,,,,,,,
The Sweet and Spicy Truth,yes,,,,,3-8,18+,30-45 mins,"Party, Social",competitive,,https://boardgamegeek.com/boardgame/311211,adults only. Your mates bet on how you'll answer,,,,,,,
The Yawning Portal,yes,,,,,2-4,10+,45-60 mins,"Strategy, Fantasy",competitive,7.1,https://boardgamegeek.com/boardgame/367820,Kingdomino-weight drafting set in D&D's famous tavern,,,,,,,
Ticket to Ride,yes,,yes,,~$75,2-5,8+,30-60 mins,"Family, Strategy",competitive,7.4,https://boardgamegeek.com/boardgame/9209,"Carcassonne on rails, the other gateway classic",,,,,,,
Ticket to Ride: Europe,yes,,,,,2-5,8+,30-60 mins,"Strategy, Family",competitive,7.5,https://boardgamegeek.com/boardgame/14996,"the train-route gateway classic, Europe edition",,,,,,,
TIME Stories,yes,,,,,2-4,12+,90 mins,"Cooperative, Adventure",co-op,7.3,https://boardgamegeek.com/boardgame/146508,Sherlock-style deduction inside a time loop you replay,,,,,,,
Tokaido,yes,,,,,2-5,8+,45 mins,"Strategy, Family",competitive,6.9,https://boardgamegeek.com/boardgame/123540,"a serene stroll across Japan, Ticket to Ride's zen cousin",,,,,,,
Tri-Ominos,yes,,,,,2-6,8+,30 mins,"Family, Abstract",competitive,5.4,https://boardgamegeek.com/boardgame/4040,dominoes gone triangular,,,,,,,
Trivial Pursuit - Horror,yes,,,,,2-6,18+,60 mins,"Trivia, Party",competitive,5.8,https://boardgamegeek.com/boardgame/269963,Trivial Pursuit for horror tragics,,,,,,,
Trivial Pursuit - Supernatural,yes,,,,,2-6,13+,60 mins,"Trivia, Party",competitive,,https://boardgamegeek.com/boardgame/253204,Trivial Pursuit for Winchester devotees,,,,,,,
Trust me I'm a Doctor,yes,,,,,3-8,14+,30-45 mins,"Party, Social",competitive,5.8,https://boardgamegeek.com/boardgame/295687,"pitch quack cures, Balderdash with a stethoscope",,,,,,,
"Trust Me, I'm a Superhero",yes,,,,,3-9,12+,30 mins,"Party, Humor",competitive,5.6,https://boardgamegeek.com/boardgame/315733,"pitch your hero to a judge, Superfight in capes",,,,,,,
Two Rooms and a Boom,yes,,,,,6-30,8+,30 mins,"Party, Social Deduction",teams,7,https://boardgamegeek.com/boardgame/134352,"Werewolf split across two rooms, whole-venue deduction",,,,,,,
